<0,agent7-0,noteItem7-4,read> 9.048070325724565E-4
<38,nurse2-3,HR2-8,addItem> 1.47231004123256E-4
<39,patient6-1,noteItem6-1,read> 0.004189065560458065
<40,nurse5-0,nursingItem5-8,read> 0.0012544617311574704
<41,nurse5-2,nursingItem5-2,read> 0.0012522255057783038
<42,nurse0-1,nursingItem0-8,read> 7.541203392444085E-4
<43,patient2-5,HR2-5,addNote> 0.0014909541161365473
<44,agent1-01,HR1-7,addNote> 0.0011140912317062753
<45,nurse2-3,HR2-9,addItem> 1.4867459276546134E-4
<46,nurse2-3,HR2-4,addItem> 1.5156177004987205E-4
<47,nurse2-3,HR2-5,addItem> 1.4687010696270465E-4
<48,nurse2-3,HR2-6,addItem> 1.4650920980215331E-4
<49,doctor7-1,HRitem8-0-0,read> 3.3762275740213975E-4
<50,patient5-3,noteItem5-3,read> 0.004211310026890175
<51,patient9-3,HR9-3,addNote> 0.0013150987724497134
<52,doctor5-1,HRitem1-7-3,read> 3.937901345355863E-4
<53,nurse2-3,HR2-7,addItem> 1.475919012838073E-4
<54,doctor1-1,HRitem2-8-1,read> 1.6457349483396403E-4
<55,agent6-11,noteItem6-9agent6-1,read> 8.110007566689548E-4
<56,patient8-7,HR8-7,addNote> 9.487334731021438E-4
<57,patient3-9,noteItem3-9,read> 0.004077843228297515
<58,nurse1-0,nursingItem1-2,read> 7.781473047857097E-4
<59,agent8-0,HR8-4,addNote> 3.2213701224410884E-4
<60,nurse8-2,HR8-4,addItem> 8.638994119821607E-5
<61,patient3-8,noteItem3-8,read> 0.004100087694729625
<62,agent3-11,noteItem3-4,read> 0.001995331150291404
<63,patient3-4,noteItem3-4,read> 0.003988865362569074
<64,patient1-1,noteItem1-1,read> 0.0013936776121562307
<65,patient0-2,noteItem0-2,read> 0.0016606112093415521
<66,nurse2-2,HR2-1,addItem> 1.5177421736828863E-4
<67,nurse2-2,HR2-2,addItem> 1.52505732825029E-4
<68,patient0-1,noteItem0-1,read> 0.0014826554778846711
<69,agent4-1,HR4-3,addNote> 6.982919685986928E-4
<70,doctor2-1,HRitem1-8-1,read> 6.102336648699564E-4
<71,nurse8-1,nursingItem8-8,read> 0.001206533421957233
<72,nurse1-0,HR1-9,addItem> 1.5119541729932256E-4
<73,nurse2-2,HR2-0,addItem> 1.514084596399184E-4
<74,nurse2-2,HR2-9,addItem> 1.50676944183178E-4
<75,nurse2-2,HR2-7,addItem> 1.4957967099806733E-4
<76,nurse2-2,HR2-8,addItem> 1.4921391326969713E-4
<77,nurse2-2,HR2-5,addItem> 1.4884815554132692E-4
<78,patient0-4,noteItem0-4,read> 0.0016383667429094413
<79,nurse3-1,nursingItem3-2,read> 4.98454595462193E-4
<80,doctor7-0,HR0-8,addItem> 2.126412799461535E-4
<81,agent6-0,noteItem6-7agent6-0,read> 0.0016118128439926618
<82,patient6-3,noteItem6-3,read> 0.004159406271881918
<83,nurse6-1,nursingItem6-3,read> 1.6896016593473823E-4
<84,nurse4-3,nursingItem4-1,read> 6.944902210918403E-4
<85,patient9-6,HR9-6,addNote> 0.0012528166715606267
<86,nurse2-2,HR2-6,addItem> 1.484823978129567E-4
<87,agent9-1,noteItem9-2,read> 0.0018807203945841746
<88,doctor3-1,HR3-4,addItem> 5.07961657413011E-4
<89,nurse0-0,HR0-8,addItem> 1.0767599254444473E-4
<90,nurse2-2,HR2-3,addItem> 1.5287149055339923E-4
<91,patient5-0,noteItem5-0,read> 0.004270628604042469
<92,nurse2-2,HR2-4,addItem> 1.536030060101397E-4
<93,patient1-3,noteItem1-3,read> 0.0013417738571479738
<94,nurse6-2,nursingItem6-3,read> 1.6991744732813618E-4
<95,agent5-1,noteItem5-7,read> 0.0021489610912928977
<96,agent1-11,noteItem1-4,read> 6.834622549169552E-4
<97,nurse6-2,nursingItem6-2,read> 1.6889972366058558E-4
<98,nurse6-2,nursingItem6-1,read> 1.67881999993035E-4
<99,nurse6-2,nursingItem6-0,read> 1.6686427632548443E-4
<100,nurse6-2,nursingItem6-7,read> 1.383680136340675E-4
<101,nurse6-2,nursingItem6-6,read> 1.404034609691687E-4
<102,nurse9-2,nursingItem9-1,read> 6.423620942196564E-4
<103,patient2-6,noteItem2-6,read> 0.0015048999443167809
<104,patient0-5,HR0-5,addNote> 0.0010329974919520849
<105,patient5-5,HR5-5,addNote> 0.001348071649390995
<106,nurse6-2,nursingItem6-5,read> 1.332793952963145E-4
<107,patient9-2,noteItem9-2agent9-1,read> 0.004424504071806351
<108,nurse4-2,nursingItem4-4,read> 7.039145315889893E-4
<109,patient0-0,noteItem0-0,read> 0.0015123147664608178
<110,nurse6-2,nursingItem6-4,read> 1.363325662989663E-4
<111,nurse5-0,nursingItem5-4,read> 0.001238648265506463
<112,agent6-01,noteItem6-7agent6-0,read> 0.0012136265195602704
<113,patient3-0,noteItem3-0,read> 0.004033354295433294
<114,patient8-2,noteItem8-2,read> 0.0019942782058232035
<115,nurse1-0,HR1-7,addItem> 1.5006416196880704E-4
<116,patient9-7,noteItem9-7,read> 0.0026912714873626523
<117,nurse5-3,nursingItem5-6,read> 0.0012705757516059818
<118,patient3-6,noteItem3-6,read> 0.003959206073992928
<119,patient2-7,noteItem2-7agent2-1,read> 0.004637746564881171
<120,agent4-0,noteItem4-7,read> 0.0020822837545018294
<121,nurse6-2,nursingItem6-9,read> 1.4243890830426993E-4
<122,doctor9-1,HRitem0-4-0,read> 4.89417467242174E-4
<123,patient3-3,HR3-3,addNote> 0.0013663899143583735
<124,nurse6-2,nursingItem6-8,read> 1.444743556393711E-4
<125,nurse8-1,HR8-5,addItem> 1.0887741700942442E-4
<126,patient3-2,HR3-2,addNote> 0.0013737172203453247
<127,patient1-9,noteItem1-9,read> 0.0015493888771810009
<128,nurse8-1,HR8-4,addItem> 1.0643948386537886E-4
<129,nurse8-1,HR8-3,addItem> 1.0725212824672742E-4
<130,patient6-9,noteItem6-9,read> 0.004292873070474578
<131,agent3-01,HR3-1,addNote> 9.120131368004663E-4
<132,nurse8-1,HR8-2,addItem> 1.1090902796279577E-4
<133,nurse8-1,HR8-9,addItem> 1.0562683948403034E-4
<134,nurse8-1,HR8-8,addItem> 1.048141951026818E-4
<135,nurse4-0,nursingItem4-1,read> 7.120167881856406E-4
<136,nurse2-1,HR2-0,addItem> 1.524144959165956E-4
<137,patient3-1,noteItem3-1agent3-0,read> 0.004091312676376943
<138,nurse2-1,nursingItem2-7,read> 5.068507259460332E-4
<139,patient7-8,noteItem7-8,read> 0.0014010924343002675
<140,nurse8-1,HR8-7,addItem> 1.0522051729335607E-4
<141,doctor1-1,HRitem1-7-1,read> 4.253393406837034E-4
<142,nurse2-1,HR2-1,addItem> 1.5278268392887527E-4
<143,nurse8-1,HR8-6,addItem> 1.080647726280759E-4
<144,nurse4-0,nursingItem4-4,read> 7.171543033430141E-4
<145,nurse2-1,HR2-4,addItem> 1.546236239902735E-4
<146,patient7-2,HR7-2,addNote> 0.001212516488632394
<147,nurse2-1,HR2-2,addItem> 1.5351905995343452E-4
<148,doctor7-1,HR6-3,addItem> 8.185357949658844E-5
<149,doctor1-1,HRitem2-5-0,read> 2.6195237798042634E-4
<150,doctor5-1,HR5-5,addItem> 4.626856084774177E-4
<151,patient6-3,HR6-3,addNote> 3.2957611720475116E-4
<152,nurse2-1,HR2-3,addItem> 1.538872479657142E-4
<153,doctor7-0,HR7-0,addItem> 2.854249193942434E-4
<154,patient7-1,HR7-1,addNote> 0.0012015255296519668
<155,nurse2-1,HR2-5,addItem> 1.498371798306381E-4
<156,nurse2-1,HR2-6,addItem> 1.494689918183584E-4
<157,nurse8-1,HR8-1,addItem> 1.1172167234414429E-4
<158,doctor1-0,HRitem1-7-3,read> 3.062812157499005E-4
<159,nurse2-1,HR2-7,addItem> 1.5057355585519736E-4
<160,nurse8-1,HR8-0,addItem> 1.0969006139077296E-4
<161,patient0-8,HR0-8,addNote> 0.0010732976748803174
<162,nurse2-1,HR2-8,addItem> 1.5020536784291774E-4
<163,nurse9-3,nursingItem9-7,read> 0.0011160123458741574
<164,nurse2-1,HR2-9,addItem> 1.5167811989203633E-4
<165,patient1-4,noteItem1-4,read> 0.0013121145685718273
<166,agent9-01,HR9-9,addNote> 4.848787492287061E-4
<167,nurse1-0,HR1-8,addItem> 1.5232667262983816E-4
<168,nurse6-3,nursingItem6-0,read> 1.6780435675548718E-4
<169,nurse2-0,HR2-9,addItem> 1.5267929560089464E-4
<170,patient7-3,noteItem7-3,read> 0.0013269442128599
<171,agent3-0,noteItem3-1,read> 0.0019938271086924787
<172,nurse6-3,nursingItem6-2,read> 2.944850230574975E-4
<173,patient5-5,noteItem5-5,read> 0.004181650738314028
<174,nurse6-3,nursingItem6-1,read> 2.9271057150003334E-4
<175,patient2-3,noteItem2-3,read> 0.0015642185214690746
<176,nurse6-3,nursingItem6-4,read> 1.371006370950168E-4
<177,agent0-01,HR0-0,addNote> 3.4037288728447503E-4
<178,nurse5-3,nursingItem5-8,read> 7.308478580971432E-4
<179,patient9-5,HR9-5,addNote> 0.0013334170374170921
<180,nurse1-1,nursingItem1-9,read> 7.34962031207746E-4
<181,doctor5-1,HR1-3,addItem> 3.413394109581327E-4
<182,nurse3-0,nursingItem3-7,read> 5.09437973640068E-4
<183,nurse9-1,nursingItem9-4,read> 0.0011063527188635797
<184,nurse6-3,nursingItem6-3,read> 2.962594746149617E-4
<185,nurse5-1,nursingItem5-3,read> 7.123521410675506E-4
<186,nurse6-3,nursingItem6-6,read> 2.4480037944849973E-4
<187,nurse8-0,HR8-9,addItem> 1.0504164923758142E-4
<188,nurse6-3,nursingItem6-5,read> 1.3403026512896977E-4
<189,nurse6-3,nursingItem6-8,read> 1.4528829567114223E-4
<190,nurse6-3,nursingItem6-7,read> 1.3914755173904817E-4
<191,patient1-8,noteItem1-8,read> 0.001408507256444304
<192,nurse6-3,nursingItem6-9,read> 1.4324138102711088E-4
<193,patient7-3,HR7-3,addNote> 0.0012088528356389181
<194,nurse9-2,nursingItem9-0,read> 6.758523699501527E-4
<195,patient5-8,noteItem5-8,read> 0.004166821094025955
<196,nurse8-0,HR8-2,addItem> 1.102945735142484E-4
<197,patient6-9,noteItem6-9agent6-1,read> 0.0016790069734680267
<198,patient0-0,HR0-0,addNote> 0.0010256701859651333
<199,agent2-1,noteItem2-7agent2-1,read> 0.0029009711743297746
<200,nurse8-0,HR8-1,addItem> 1.1110271571065872E-4
<201,patient5-1,noteItem5-1,read> 0.004240969315466322
<202,doctor7-0,HR7-5,addItem> 3.760183748638599E-4
<203,doctor6-1,HRitem8-3-1,read> 5.262044504942231E-5
<204,doctor5-0,HR0-1,addItem> 1.4365780600540773E-4
<205,patient8-0,HR8-0,addNote> 9.890336560303766E-4
<206,nurse0-3,nursingItem0-8,read> 7.444830186150868E-4
<207,nurse2-1,nursingItem2-2,read> 8.747508691931566E-4
<208,nurse8-0,HR8-4,addItem> 1.058497914339917E-4
<209,patient5-8,HR5-8,addNote> 0.001370053567351849
<210,doctor3-1,HR3-2,addItem> 4.973503378369803E-4
<211,doctor7-0,HR7-9,addItem> 2.914985592242919E-4
<212,patient5-4,noteItem5-4,read> 0.004226139671178249
<213,patient9-6,noteItem9-6,read> 0.002639367732354396
<214,nurse8-0,HR8-3,addItem> 1.0665793363040204E-4
<215,patient2-5,noteItem2-5,read> 0.0015271444107488917
<216,nurse3-3,HR3-1,addItem> 1.4038203730933784E-4
<217,patient8-9,HR8-9,addNote> 9.523971260956195E-4
<218,nurse8-0,HR8-6,addItem> 1.0746607582681232E-4
<219,agent9-0,HR9-9,addNote> 0.001172359417149219
<220,nurse3-3,HR3-0,addItem> 1.4112685192090499E-4
<221,doctor3-1,HR3-8,addItem> 5.132673172010263E-4
<222,nurse8-1,nursingItem8-1,read> 7.383074419614653E-4
<223,nurse2-0,HR2-0,addItem> 1.534205321932728E-4
<224,nurse8-0,HR8-5,addItem> 1.0827421802322262E-4
<225,nurse3-3,HR3-3,addItem> 1.3889240808620347E-4
<226,nurse8-0,HR8-8,addItem> 1.0423350704117108E-4
<227,doctor2-0,HRitem0-2-3,read> 1.8582804756210543E-4
<228,nurse0-2,nursingItem0-3,read> 7.316240731397127E-4
<229,agent4-1,noteItem4-3,read> 0.0021124158467483727
<230,nurse3-3,HR3-2,addItem> 1.3963722269777064E-4
<231,nurse8-0,HR8-7,addItem> 1.0463757813937625E-4
<232,patient3-4,noteItem3-4agent3-1,read> 0.0031383852854488348
<233,doctor6-1,HR8-9,addItem> 2.0275641942270025E-4
<234,nurse3-3,HR3-5,addItem> 1.4298888844982291E-4
<235,patient4-8,noteItem4-8,read> 0.003981450540425038
<236,nurse2-0,HR2-3,addItem> 1.5490300537802912E-4
<237,nurse3-3,HR3-4,addItem> 1.4261648114403936E-4
<238,doctor2-0,HR2-9,addItem> 0.001056490666772748
<239,patient5-2,noteItem5-2,read> 0.004255798959754396
<240,nurse4-0,nursingItem4-8,read> 0.0012786654308649989
<241,patient7-5,noteItem7-5,read> 0.0013788479678681572
<242,nurse1-2,nursingItem1-8,read> 7.429067940225136E-4
<243,nurse2-0,HR2-4,addItem> 1.556442419704073E-4
<244,patient0-6,noteItem0-6,read> 0.0016235370986213682
<245,patient9-8,HR9-8,addNote> 0.0012711349365280053
<246,agent7-1,noteItem7-5agent7-1,read> 0.003543606408767935
<247,patient3-0,HR3-0,addNote> 0.0013883718323192272
<248,nurse3-3,HR3-7,addItem> 1.4224407383825577E-4
<249,nurse1-1,HR1-7,addItem> 1.4604906733419015E-4
<250,nurse2-0,HR2-1,addItem> 1.537911504894619E-4
<251,doctor4-1,HR4-1,addItem> 3.7367083667226645E-4
<252,nurse3-3,HR3-6,addItem> 1.4149925922668857E-4
<253,agent0-1,noteItem0-0agent0-0agent0-1,read> 0.001145252915884109
<254,nurse1-2,HR1-8,addItem> 1.4621322757446005E-4
<255,nurse2-0,HR2-2,addItem> 1.5453238708184005E-4
<256,agent2-11,noteItem2-7,read> 8.131115637596616E-4
<257,agent7-1,HR7-5,addNote> 0.0010655681421281298
<258,patient4-5,HR4-5,addNote> 0.0010366611449455607
<259,nurse2-0,HR2-7,addItem> 1.5156744071232736E-4
<260,patient8-5,HR8-5,addNote> 9.81706350043425E-4
<261,patient4-2,noteItem4-2,read> 0.004129746983305772
<262,nurse3-3,HR3-9,addItem> 1.4447851767295726E-4
<263,nurse5-3,nursingItem5-9,read> 7.298242019200594E-4
<264,doctor5-1,HRitem1-4-1,read> 6.319186234185326E-4
<265,nurse1-0,nursingItem1-9,read> 7.551671729591617E-4
<266,nurse2-0,HR2-8,addItem> 1.511968224161383E-4
<267,nurse3-3,HR3-8,addItem> 1.4410611036717367E-4
<268,nurse2-0,HR2-5,addItem> 1.5082620411994922E-4
<269,nurse5-1,nursingItem5-0,read> 0.0012498353812143957
<270,nurse8-0,HR8-0,addItem> 1.0908236021963293E-4
<271,nurse2-0,HR2-6,addItem> 1.5045558582376013E-4
<272,doctor7-0,HR7-3,addItem> 3.737529196117618E-4
<273,doctor6-0,HRitem2-5-0,read> 4.4637990889499437E-4
<274,nurse8-3,HR8-2,addItem> 8.878866781509136E-5
<275,nurse8-3,HR8-3,addItem> 8.586112205901446E-5
<276,patient6-2,HR6-2,addNote> 3.405670761851783E-4
<277,nurse8-3,HR8-0,addItem> 8.781281922973237E-5
<278,patient3-2,noteItem3-2,read> 0.004018524651145221
<279,patient9-2,HR9-2,addNote> 0.0013077714664627622
<280,doctor2-0,HR7-3,addItem> 3.4319050029086814E-4
<281,patient8-3,noteItem8-3,read> 0.0020091078501112765
<282,doctor5-1,HR1-5,addItem> 3.429534678713422E-4
<283,agent3-1,noteItem3-4,read> 0.0020197140156717466
<284,nurse8-3,HR8-1,addItem> 8.943923353866399E-5
<285,doctor2-1,HR1-2,addItem> 4.548839973662385E-4
<286,nurse8-3,HR8-8,addItem> 8.39094248882965E-5
<287,nurse8-3,HR8-9,addItem> 8.455999061186916E-5
<288,nurse8-3,HR8-6,addItem> 8.651168778258708E-5
<289,nurse1-3,nursingItem1-6,read> 7.337471724599986E-4
<290,patient9-4,noteItem9-4,read> 0.0026097084437782495
<291,nurse3-0,nursingItem3-3,read> 8.467718068164185E-4
<292,nurse0-1,nursingItem0-9,read> 7.530956612088617E-4
<293,nurse8-3,HR8-7,addItem> 8.423470775008284E-5
<294,nurse8-3,HR8-4,addItem> 8.521055633544179E-5
<295,nurse8-3,HR8-5,addItem> 8.716225350615971E-5
<296,doctor8-0,HRitem6-2-1,read> 4.501780184399883E-4
<297,nurse8-2,HR8-0,addItem> 8.902822157201241E-5
<298,nurse1-2,nursingItem1-9,read> 0.0012677970011348487
<299,nurse8-2,HR8-1,addItem> 9.067714680563513E-5
<300,nurse8-2,HR8-2,addItem> 9.001757671218605E-5
<301,nurse3-2,nursingItem3-0,read> 4.944654118152555E-4
<302,nurse8-2,HR8-7,addItem> 8.540058605804246E-5
<303,nurse8-2,HR8-8,addItem> 8.507080101131791E-5
<304,patient0-2,HR0-2,addNote> 0.001018342879978182
<305,nurse8-2,HR8-9,addItem> 8.5730371104767E-5
<306,nurse0-2,nursingItem0-2,read> 7.326291087848017E-4
<307,agent7-1,noteItem7-5,read> 9.354000922940044E-4
<308,nurse8-2,HR8-3,addItem> 8.704951129166519E-5
<309,nurse8-2,HR8-5,addItem> 8.836865147856332E-5
<310,nurse8-1,nursingItem8-5,read> 7.338052813549542E-4
<311,nurse8-2,HR8-6,addItem> 8.770908138511425E-5
<312,doctor0-0,HRitem0-0-2,read> 2.384915183229337E-4
<313,nurse9-0,HR9-9,addItem> 1.311048786379912E-4
<314,nurse9-2,HR9-9,addItem> 1.274798589521481E-4
<315,nurse2-0,nursingItem2-9,read> 5.143028270175452E-4
<316,nurse9-2,HR9-7,addItem> 1.263807630541054E-4
<317,nurse9-2,HR9-8,addItem> 1.2711349365280054E-4
<318,doctor8-1,HR7-0,addItem> 2.6889264126919363E-4
<319,patient7-8,HR7-8,addNote> 0.0012344984065932483
<320,nurse9-2,HR9-5,addItem> 1.3334170374170923E-4
<321,agent3-01,noteItem3-1agent3-0,read> 0.0023277200903682317
<322,nurse0-1,nursingItem0-6,read> 7.520709831733147E-4
<323,nurse9-2,HR9-6,addItem> 1.252816671560627E-4
<324,nurse9-2,HR9-3,addItem> 1.3150987724497136E-4
<325,nurse8-0,nursingItem8-9,read> 7.207854423572126E-4
<326,nurse9-2,HR9-4,addItem> 1.322426078436665E-4
<327,nurse9-2,HR9-1,addItem> 1.3004441604758107E-4
<328,nurse9-2,HR9-2,addItem> 1.3077714664627623E-4
<329,doctor8-1,HR7-6,addItem> 2.737970795646672E-4
<330,doctor8-1,HR7-7,addItem> 2.729796731820882E-4
<331,agent0-11,noteItem0-0agent0-0,read> 8.604985167871889E-4
<332,nurse9-2,HR9-0,addItem> 1.2931168544888595E-4
<333,doctor8-1,HR7-8,addItem> 2.75431892329825E-4
<334,patient2-4,noteItem2-4,read> 0.0015419740550369643
<335,doctor8-1,HR7-2,addItem> 2.705274540343514E-4
<336,doctor8-1,HR7-4,addItem> 2.7216226679950924E-4
<337,doctor8-1,HR7-9,addItem> 2.7461448594724605E-4
<338,nurse1-2,nursingItem1-5,read> 7.409015347235718E-4
<339,nurse5-3,HR5-4,addItem> 1.363455550671041E-4
<340,agent6-01,HR6-7,addNote> 1.8453902814749776E-4
<341,nurse9-3,nursingItem9-9,read> 0.0011282386304588888
<342,patient2-7,noteItem2-7,read> 0.0014900703000287076
<343,nurse9-1,HR9-6,addItem> 1.2409416320197678E-4
<344,nurse9-1,HR9-7,addItem> 1.2518284112942194E-4
<345,nurse9-1,HR9-8,addItem> 1.2590862641438536E-4
<346,nurse1-2,HR1-3,addItem> 1.5309030150679155E-4
<347,doctor9-0,HRitem9-1-3,read> 7.506695868988315E-4
<348,nurse9-1,HR9-9,addItem> 1.2627151905686708E-4
<349,agent9-0,noteItem9-9,read> 0.001932187581306531
<350,nurse9-1,HR9-2,addItem> 1.295375528392025E-4
<351,patient3-1,noteItem3-1,read> 0.004025939473289258
<352,nurse1-1,nursingItem1-4,read> 7.5936051717257E-4
<353,nurse9-1,HR9-3,addItem> 1.3026333812416594E-4
<354,nurse9-1,HR9-4,addItem> 1.309891234091294E-4
<355,doctor0-1,HRitem8-7-0,read> 4.7083035991482287E-4
<356,patient2-1,noteItem2-1,read> 0.001586462987901185
<357,patient1-5,HR1-5,addNote> 0.0015568998700191093
<358,nurse2-2,nursingItem2-4,read> 8.749538521285331E-4
<359,nurse9-1,HR9-5,addItem> 1.3207780133657452E-4
<360,patient0-8,noteItem0-8,read> 0.001608707454333295
<361,nurse9-1,HR9-0,addItem> 1.2808598226927566E-4
<362,nurse9-1,HR9-1,addItem> 1.2881176755423908E-4
<363,doctor8-0,HRitem8-1-3,read> 4.3326891385746735E-5
<364,doctor0-0,HRitem8-6-3,read> 2.0834238204430367E-4
<365,doctor9-1,HRitem0-1-2,read> 1.2077317191637648E-4
<366,agent9-01,noteItem9-9agent9-0,read> 0.001013138920598303
<367,nurse1-2,HR1-5,addItem> 1.538142040259843E-4
<368,agent9-11,noteItem9-2,read> 7.311891669466517E-4
<369,patient0-9,HR0-9,addNote> 0.0010659703688933662
<370,agent5-01,noteItem5-0agent5-0,read> 1.650099777730706E-4
<371,nurse2-3,nursingItem2-3,read> 4.928152390143043E-4
<372,nurse9-3,HR9-4,addItem> 1.2973563897459228E-4
<373,nurse9-3,HR9-5,addItem> 1.3081389893143986E-4
<374,patient1-3,HR1-3,addNote> 0.0015495725640321581
<375,agent5-01,noteItem5-0,read> 0.0021620217277319004
<376,nurse8-0,nursingItem8-0,read> 0.0012305786204655112
<377,nurse9-3,HR9-6,addItem> 1.229066592478909E-4
<378,nurse9-3,HR9-8,addItem> 1.247037591759702E-4
<379,nurse3-0,nursingItem3-6,read> 4.835659710721994E-4
<380,nurse9-3,HR9-9,addItem> 1.2506317916158606E-4
<381,doctor3-0,HR5-9,addItem> 9.539083829554282E-4
<382,nurse2-3,nursingItem2-1,read> 4.908158195677076E-4
<383,patient6-2,noteItem6-2,read> 0.004144576627593845
<384,nurse9-3,HR9-0,addItem> 1.2686027908966537E-4
<385,doctor2-1,HRitem1-0-1,read> 6.360490917134997E-4
<386,nurse5-1,nursingItem5-4,read> 7.133640647956133E-4
<387,patient3-3,noteItem3-3,read> 0.004003695006857148
<388,doctor3-0,HR5-8,addItem> 9.590374971462942E-4
<389,nurse9-3,HR9-1,addItem> 1.2757911906089708E-4
<390,nurse0-3,nursingItem0-5,read> 0.0012866080204145865
<391,nurse9-3,HR9-2,addItem> 1.282979590321288E-4
<392,patient0-0,noteItem0-0agent0-0agent0-1,read> 0.0029384704481911898
<393,nurse9-3,HR9-3,addItem> 1.2901679900336052E-4
<394,doctor3-0,HR5-4,addItem> 9.462147116691294E-4
<395,doctor3-0,HR5-1,addItem> 9.898121822914901E-4
<396,nurse0-3,nursingItem0-6,read> 0.0012936583297906811
<397,doctor4-1,HRitem4-4-3,read> 4.264278257439285E-4
<398,nurse7-1,HR7-3,addItem> 1.1941795519196784E-4
<399,doctor3-0,HR5-0,addItem> 9.872476251960572E-4
<400,nurse3-2,HR3-7,addItem> 1.3972647961103E-4
<401,nurse3-2,HR3-8,addItem> 1.41555559741206E-4
<402,nurse3-2,HR3-9,addItem> 1.419213757672412E-4
<403,nurse3-2,HR3-3,addItem> 1.3643413537671312E-4
<404,nurse8-1,nursingItem8-7,read> 0.0012177926282796905
<405,nurse3-2,HR3-4,addItem> 1.400922956370652E-4
<406,patient6-6,noteItem6-6,read> 0.004203895204746139
<407,nurse3-2,HR3-5,addItem> 1.4045811166310039E-4
<408,patient8-7,noteItem8-7,read> 0.0019497892729589828
<409,nurse3-2,HR3-6,addItem> 1.3899484755895957E-4
<410,nurse7-1,nursingItem7-2,read> 1.5936181990626377E-4
<411,doctor2-0,HR2-1,addItem> 0.0010641843380590468
<412,agent2-01,HR2-2,addNote> 0.0010954303245859704
<413,nurse6-0,nursingItem6-0,read> 1.64984115465479E-4
<414,doctor2-0,HRitem7-3-2,read> 8.772942555664114E-5
<415,nurse3-2,HR3-0,addItem> 1.3862903153292436E-4
<416,nurse3-2,HR3-1,addItem> 1.37897399480854E-4
<417,nurse3-2,HR3-2,addItem> 1.3716576742878357E-4
<418,doctor7-1,HR6-9,addItem> 8.640310684239236E-5
<419,nurse6-0,nursingItem6-6,read> 1.388214501413471E-4
<420,nurse6-0,nursingItem6-7,read> 1.3680893742410618E-4
<421,nurse1-1,nursingItem1-1,read> 0.0013185543218088291
<422,doctor7-1,HR6-7,addItem> 7.457433574330221E-5
<423,nurse4-1,nursingItem4-5,read> 0.0012404480793509595
<424,nurse8-2,nursingItem8-8,read> 5.873598284131837E-4
<425,nurse6-0,nursingItem6-8,read> 2.494563655830433E-4
<426,nurse0-2,nursingItem0-4,read> 7.356442157200694E-4
<427,nurse6-0,nursingItem6-9,read> 1.4083396285858804E-4
<428,patient5-2,HR5-2,addNote> 0.0013590626083714219
<429,doctor7-1,HR6-5,addItem> 7.821395761994531E-5
<430,patient8-4,noteItem8-4agent8-1agent8-0,read> 7.927178616258006E-4
<431,nurse6-0,nursingItem6-2,read> 1.6699662818271986E-4
<432,nurse6-0,nursingItem6-3,read> 1.680028845413403E-4
<433,patient5-6,HR5-6,addNote> 0.0013847081793257516
