<0,agent7-0,noteItem7-4,read> 0.0013478832720819447
<111,nurse5-0,nursingItem5-4,read> 0.001845203692021237
<112,agent6-01,noteItem6-7agent6-0,read> 0.0018079290118021083
<113,patient3-0,noteItem3-0,read> 0.006008453282837458
<114,patient8-2,noteItem8-2,read> 0.002970859129890142
<115,nurse1-0,HR1-7,addItem> 2.2354929435249824E-4
<116,patient9-7,noteItem9-7,read> 0.004009164040352133
<117,nurse5-3,nursingItem5-6,read> 0.0018927657940871537
<118,patient3-6,noteItem3-6,read> 0.0058979953136393745
<119,patient2-7,noteItem2-7agent2-1,read> 0.00690881126021558
<120,agent4-0,noteItem4-7,read> 0.0031019602405623938
<121,nurse6-2,nursingItem6-9,read> 2.121900194023579E-4
<122,doctor9-1,HRitem0-4-0,read> 7.290810011554732E-4
<123,patient3-3,HR3-3,addNote> 0.002035499330137719
<124,nurse6-2,nursingItem6-8,read> 2.152222078308524E-4
<125,nurse8-1,HR8-5,addItem> 1.6219375381870872E-4
<126,patient3-2,HR3-2,addNote> 0.002046414754989312
<127,patient1-9,noteItem1-9,read> 0.0023081113147016353
<128,nurse8-1,HR8-4,addItem> 1.5856198573444593E-4
<129,nurse8-1,HR8-3,addItem> 1.5977257509586693E-4
<130,patient6-9,noteItem6-9,read> 0.006395056175030753
<131,agent3-01,HR3-1,addNote> 0.0013586181437133006
<132,nurse8-1,HR8-2,addItem> 1.652202272222611E-4
<133,nurse8-1,HR8-9,addItem> 1.5735139637302502E-4
<134,nurse8-1,HR8-8,addItem> 1.5614080701160406E-4
<135,nurse4-0,nursingItem4-1,read> 0.0010606852993929228
<136,nurse2-1,HR2-0,addItem> 2.2705056666580428E-4
<137,patient3-1,noteItem3-1agent3-0,read> 0.00609479338557604
<138,nurse2-1,nursingItem2-7,read> 7.550511770481181E-4
<139,patient7-8,noteItem7-8,read> 0.0020871953763054673
<140,nurse8-1,HR8-7,addItem> 1.5674610169231454E-4
<141,doctor1-1,HRitem1-7-1,read> 6.336243658893279E-4
<142,nurse2-1,HR2-1,addItem> 2.2759905318819778E-4
<143,nurse8-1,HR8-6,addItem> 1.6098316445728778E-4
<144,nurse4-0,nursingItem4-4,read> 0.0010683386116367539
<145,nurse2-1,HR2-4,addItem> 2.3034148580016521E-4
<146,patient7-2,HR7-2,addNote> 0.001806275408254262
<147,nurse2-1,HR2-2,addItem> 2.286960262329847E-4
<148,doctor7-1,HR6-3,addItem> 1.2193657497312402E-4
<149,doctor1-1,HRitem2-5-0,read> 3.902282096084712E-4
<150,doctor5-1,HR5-5,addItem> 6.892587805453712E-4
<151,patient6-3,HR6-3,addNote> 4.909667136372846E-4
<152,nurse2-1,HR2-3,addItem> 2.292445127553782E-4
<153,doctor7-0,HR7-0,addItem> 4.2519505312977327E-4
<154,patient7-1,HR7-1,addNote> 0.0017899022709768721
<155,nurse2-1,HR2-5,addItem> 2.2321116100904986E-4
<156,nurse2-1,HR2-6,addItem> 2.2266267448665635E-4
<157,nurse8-1,HR8-1,addItem> 1.66430816583682E-4
<158,doctor1-0,HRitem1-7-3,read> 4.5626449883848864E-4
<159,nurse2-1,HR2-7,addItem> 2.243081340538368E-4
<160,nurse8-1,HR8-0,addItem> 1.6340434318012965E-4
<161,patient0-8,HR0-8,addNote> 0.0015988823360739914
<162,nurse2-1,HR2-8,addItem> 2.2375964753144334E-4
<163,nurse9-3,nursingItem9-7,read> 0.0016625140149098545
<164,nurse2-1,HR2-9,addItem> 2.2595359362101731E-4
<165,patient1-4,noteItem1-4,read> 0.0019546458132677666
<166,agent9-01,HR9-9,addNote> 7.22319711878513E-4
<167,nurse1-0,HR1-8,addItem> 2.2691973706915198E-4
<168,nurse6-3,nursingItem6-0,read> 2.499767102938378E-4
<169,nurse2-0,HR2-9,addItem> 2.2744503648320223E-4
<170,patient7-3,noteItem7-3,read> 0.0019767374071073826
<171,agent3-0,noteItem3-1,read> 0.0029701871343654615
<172,nurse6-3,nursingItem6-2,read> 4.3869181181024983E-4
<173,patient5-5,noteItem5-5,read> 0.006229369221233626
<174,nurse6-3,nursingItem6-1,read> 4.36048426552041E-4
<175,patient2-3,noteItem2-3,read> 0.002330202908541252
<176,nurse6-3,nursingItem6-4,read> 2.0423764259077214E-4
<177,agent0-01,HR0-0,addNote> 5.07050569375673E-4
<178,nurse5-3,nursingItem5-8,read> 0.0010887377826466794
<179,patient9-5,HR9-5,addNote> 0.0019863799183055496
<180,nurse1-1,nursingItem1-9,read> 0.0010948666310249514
<181,doctor5-1,HR1-3,addItem> 5.08490391398376E-4
<182,nurse3-0,nursingItem3-7,read> 7.589053777362001E-4
<183,nurse9-1,nursingItem9-4,read> 0.001648124151443507
<184,nurse6-3,nursingItem6-3,read> 4.4133519706845867E-4
<185,nurse5-1,nursingItem5-3,read> 0.00106118487170337
<186,nurse6-3,nursingItem6-6,read> 3.64677024580401E-4
<187,nurse8-0,HR8-9,addItem> 1.564796434845318E-4
<188,nurse6-3,nursingItem6-5,read> 1.9966373582046558E-4
<189,nurse6-3,nursingItem6-8,read> 2.164347273115896E-4
<190,nurse6-3,nursingItem6-7,read> 2.072869137709765E-4
<191,patient1-8,noteItem1-8,read> 0.0020982411732252755
<192,nurse6-3,nursingItem6-9,read> 2.1338545613138528E-4
<193,patient7-3,HR7-3,addNote> 0.0018008176958284653
<194,nurse9-2,nursingItem9-0,read> 0.0010068114758820673
<195,patient5-8,noteItem5-8,read> 0.006207277627394009
<196,nurse8-0,HR8-2,addItem> 1.6430487970302415E-4
<197,patient6-9,noteItem6-9agent6-1,read> 0.0025012022804600143
<198,patient0-0,HR0-0,addNote> 0.0015279320745386358
<199,agent2-1,noteItem2-7agent2-1,read> 0.00432155186454952
<200,nurse8-0,HR8-1,addItem> 1.6550876219817684E-4
<201,patient5-1,noteItem5-1,read> 0.006317735596592095
<202,doctor7-0,HR7-5,addItem> 5.601513463411858E-4
<203,doctor6-1,HRitem8-3-1,read> 7.838822544291372E-5
<204,doctor5-0,HR0-1,addItem> 2.1400580084812295E-4
<205,patient8-0,HR8-0,addNote> 0.0014733549502806702
<206,nurse0-3,nursingItem0-8,read> 0.0011090499642640527
<207,nurse2-1,nursingItem2-2,read> 0.0013031088634141207
<208,nurse8-0,HR8-4,addItem> 1.5768352597968444E-4
<209,patient5-8,HR5-8,addNote> 0.002040957042563515
<210,doctor3-1,HR3-2,addItem> 7.408985304069093E-4
<211,doctor7-0,HR7-9,addItem> 4.342429022654036E-4
<212,patient5-4,noteItem5-4,read> 0.0062956440027524775
<213,patient9-6,noteItem9-6,read> 0.0039318434619134745
<214,nurse8-0,HR8-3,addItem> 1.5888740847483715E-4
<215,patient2-5,noteItem2-5,read> 0.002274973923942211
<216,nurse3-3,HR3-1,addItem> 2.0912591633165427E-4
<217,patient8-9,HR8-9,addNote> 0.0014187778260227044
<218,nurse8-0,HR8-6,addItem> 1.600912909699898E-4
<219,agent9-0,HR9-9,addNote> 0.0017464537634621323
<220,nurse3-3,HR3-0,addItem> 2.1023546026709353E-4
<221,doctor3-1,HR3-8,addItem> 7.646099179785495E-4
<222,nurse8-1,nursingItem8-1,read> 0.0010998502607170871
<223,nurse2-0,HR2-0,addItem> 2.285492502741594E-4
<224,nurse8-0,HR8-5,addItem> 1.6129517346514244E-4
<225,nurse3-3,HR3-3,addItem> 2.0690682846077562E-4
<226,nurse8-0,HR8-8,addItem> 1.552757609893791E-4
<227,doctor2-0,HRitem0-2-3,read> 2.7682644782333964E-4
<228,nurse0-2,nursingItem0-3,read> 0.001089894103534729
<229,agent4-1,noteItem4-3,read> 0.0031468477598121884
<230,nurse3-3,HR3-2,addItem> 2.0801637239621493E-4
<231,nurse8-0,HR8-7,addItem> 1.5587770223695545E-4
<232,patient3-4,noteItem3-4agent3-1,read> 0.004675225628582692
<233,doctor6-1,HR8-9,addItem> 3.020444981181148E-4
<234,nurse3-3,HR3-5,addItem> 2.130093201056918E-4
<235,patient4-8,noteItem4-8,read> 0.005931132704398799
<236,nurse2-0,HR2-3,addItem> 2.3075767785607376E-4
<237,nurse3-3,HR3-4,addItem> 2.1245454813797218E-4
<238,doctor2-0,HR2-9,addItem> 0.0015738450803206498
<239,patient5-2,noteItem5-2,read> 0.006339827190431711
<240,nurse4-0,nursingItem4-8,read> 0.0019048169198600561
<241,patient7-5,noteItem7-5,read> 0.002054057985546042
<242,nurse1-2,nursingItem1-8,read> 0.0011067018760144143
<243,nurse2-0,HR2-4,addItem> 2.3186189164703098E-4
<244,patient0-6,noteItem0-6,read> 0.00241856928389972
<245,patient9-8,HR9-8,addNote> 0.0018935988070670077
<246,agent7-1,noteItem7-5agent7-1,read> 0.005278880058702665
<247,patient3-0,HR3-0,addNote> 0.002068245604692498
<248,nurse3-3,HR3-7,addItem> 2.118997761702525E-4
<249,nurse1-1,HR1-7,addItem> 2.1756804232968895E-4
<250,nurse2-0,HR2-1,addItem> 2.2910135716963802E-4
<251,doctor4-1,HR4-1,addItem> 5.566542388418927E-4
<252,nurse3-3,HR3-6,addItem> 2.107902322348132E-4
<253,agent0-1,noteItem0-0agent0-0agent0-1,read> 0.00170607344113414
<254,nurse1-2,HR1-8,addItem> 2.1781259043092516E-4
<255,nurse2-0,HR2-2,addItem> 2.3020557096059516E-4
<256,agent2-11,noteItem2-7,read> 0.0012112853190498097
<257,agent7-1,HR7-5,addNote> 0.0015873677174618192
<258,patient4-5,HR4-5,addNote> 0.0015443052118160258
<259,nurse2-0,HR2-7,addItem> 2.257887157967664E-4
<260,patient8-5,HR8-5,addNote> 0.001462439525429077
<261,patient4-2,noteItem4-2,read> 0.0061520486427949685
<262,nurse3-3,HR3-9,addItem> 2.1522840797657042E-4
<263,nurse5-3,nursingItem5-9,read> 0.0010872128508238885
<264,doctor5-1,HRitem1-4-1,read> 9.413637506787195E-4
<265,nurse1-0,nursingItem1-9,read> 0.0011249660573074242
<266,nurse2-0,HR2-8,addItem> 2.2523660890128784E-4
<267,nurse3-3,HR3-8,addItem> 2.1467363600885075E-4
<268,nurse2-0,HR2-5,addItem> 2.2468450200580927E-4
<269,nurse5-1,nursingItem5-0,read> 0.0018618690422923297
<270,nurse8-0,HR8-0,addItem> 1.6249905596029513E-4
<271,nurse2-0,HR2-6,addItem> 2.2413239511033064E-4
<272,doctor7-0,HR7-3,addItem> 5.567765170924878E-4
<273,doctor6-0,HRitem2-5-0,read> 6.649683198001051E-4
<274,nurse8-3,HR8-2,addItem> 1.3226771652973256E-4
<275,nurse8-3,HR8-3,addItem> 1.2790657673879648E-4
<276,patient6-2,HR6-2,addNote> 5.073398509146744E-4
<277,nurse8-3,HR8-0,addItem> 1.3081400326608717E-4
<278,patient3-2,noteItem3-2,read> 0.005986361688997841
<279,patient9-2,HR9-2,addNote> 0.0019481759313249732
<280,doctor2-0,HR7-3,addItem> 5.112479432927613E-4
<281,patient8-3,noteItem8-3,read> 0.0029929507237297583
<282,doctor5-1,HR1-5,addItem> 5.108948381314191E-4
<283,agent3-1,noteItem3-4,read> 0.0030087506375514324
<284,nurse8-3,HR8-1,addItem> 1.3323685870549612E-4
<285,doctor2-1,HR1-2,addItem> 6.776367874203288E-4
<286,nurse8-3,HR8-8,addItem> 1.2499915021150574E-4
<287,nurse8-3,HR8-9,addItem> 1.2596829238726933E-4
<288,nurse8-3,HR8-6,addItem> 1.2887571891456002E-4
<289,nurse1-3,nursingItem1-6,read> 0.001093056866373393
<290,patient9-4,noteItem9-4,read> 0.003887660274234241
<291,nurse3-0,nursingItem3-3,read> 0.0012614286942857684
<292,nurse0-1,nursingItem0-9,read> 0.0011218801440290845
<293,nurse8-3,HR8-7,addItem> 1.2548372129938753E-4
<294,nurse8-3,HR8-4,addItem> 1.269374345630329E-4
<295,nurse8-3,HR8-5,addItem> 1.2984486109032358E-4
<296,doctor8-0,HRitem6-2-1,read> 6.706263309968981E-4
<297,nurse8-2,HR8-0,addItem> 1.3262457770575622E-4
<298,nurse1-2,nursingItem1-9,read> 0.0018886263133553545
<299,nurse8-2,HR8-1,addItem> 1.3508096747650647E-4
<300,nurse8-2,HR8-2,addItem> 1.3409841156820638E-4
<301,nurse3-2,nursingItem3-0,read> 7.366008808685087E-4
<302,nurse8-2,HR8-7,addItem> 1.272205202101057E-4
<303,nurse8-2,HR8-8,addItem> 1.2672924225595565E-4
<304,patient0-2,HR0-2,addNote> 0.001517016649687043
<305,nurse8-2,HR8-9,addItem> 1.2771179816425577E-4
<306,nurse0-2,nursingItem0-2,read> 0.001091391296510794
<307,agent7-1,noteItem7-5,read> 0.001393457490623594
<308,nurse8-2,HR8-3,addItem> 1.2967690998085598E-4
<309,nurse8-2,HR8-5,addItem> 1.316420217974561E-4
<310,nurse8-1,nursingItem8-5,read> 0.0010931434306955636
<311,nurse8-2,HR8-6,addItem> 1.3065946588915604E-4
<312,doctor0-0,HRitem0-0-2,read> 3.5527876829932205E-4
<313,nurse9-0,HR9-9,addItem> 1.953058126682173E-4
<314,nurse9-2,HR9-9,addItem> 1.8990565194928043E-4
<315,nurse2-0,nursingItem2-9,read> 7.66152508066288E-4
<316,nurse9-2,HR9-7,addItem> 1.8826833822154147E-4
<317,nurse9-2,HR9-8,addItem> 1.8935988070670077E-4
<318,doctor8-1,HR7-0,addItem> 4.005670602738751E-4
<319,patient7-8,HR7-8,addNote> 0.0018390216828090417
<320,nurse9-2,HR9-5,addItem> 1.9863799183055499E-4
<321,agent3-01,noteItem3-1agent3-0,read> 0.003467584643961267
<322,nurse0-1,nursingItem0-6,read> 0.00112035368995251
<323,nurse9-2,HR9-6,addItem> 1.8663102449380248E-4
<324,nurse9-2,HR9-3,addItem> 1.9590913561765664E-4
<325,nurse8-0,nursingItem8-9,read> 0.0010737478882666305
<326,nurse9-2,HR9-4,addItem> 1.97000678102816E-4
<327,nurse9-2,HR9-1,addItem> 1.9372605064733802E-4
<328,nurse9-2,HR9-2,addItem> 1.9481759313249734E-4
<329,doctor8-1,HR7-6,addItem> 4.0787315991661576E-4
<330,doctor8-1,HR7-7,addItem> 4.066554766428256E-4
<331,agent0-11,noteItem0-0agent0-0,read> 0.0012818772563374125
<332,nurse9-2,HR9-0,addItem> 1.9263450816217874E-4
<333,doctor8-1,HR7-8,addItem> 4.10308526464196E-4
<334,patient2-4,noteItem2-4,read> 0.002297065517781827
<335,doctor8-1,HR7-2,addItem> 4.0300242682145526E-4
<336,doctor8-1,HR7-4,addItem> 4.054377933690354E-4
<337,doctor8-1,HR7-9,addItem> 4.090908431904058E-4
<338,nurse1-2,nursingItem1-5,read> 0.0011037146584443364
<339,nurse5-3,HR5-4,addItem> 2.0311280337330977E-4
<340,agent6-01,HR6-7,addNote> 2.7490620666274784E-4
<341,nurse9-3,nursingItem9-9,read> 0.0016807274061393853
<342,patient2-7,noteItem2-7,read> 0.002219744939343168
<343,nurse9-1,HR9-6,addItem> 1.8486201004362424E-4
<344,nurse9-1,HR9-7,addItem> 1.8648380420996288E-4
<345,nurse9-1,HR9-8,addItem> 1.8756500032085526E-4
<346,nurse1-2,HR1-3,addItem> 2.2805730845428792E-4
<347,doctor9-0,HRitem9-1-3,read> 0.0011182660419480914
<348,nurse9-1,HR9-9,addItem> 1.8810559837630146E-4
<349,agent9-0,noteItem9-9,read> 0.002878363259360486
<350,nurse9-1,HR9-2,addItem> 1.9297098087531727E-4
<351,patient3-1,noteItem3-1,read> 0.00599740748591765
<352,nurse1-1,nursingItem1-4,read> 0.0011312128461981616
<353,nurse9-1,HR9-3,addItem> 1.9405217698620968E-4
<354,nurse9-1,HR9-4,addItem> 1.951333730971021E-4
<355,doctor0-1,HRitem8-7-0,read> 7.013919468698323E-4
<356,patient2-1,noteItem2-1,read> 0.0023633402993006782
<357,patient1-5,HR1-5,addNote> 0.002319300376279141
<358,nurse2-2,nursingItem2-4,read> 0.0013034112453511114
<359,nurse9-1,HR9-5,addItem> 1.967551672634407E-4
<360,patient0-8,noteItem0-8,read> 0.002396477690060103
<361,nurse9-1,HR9-0,addItem> 1.908085886535325E-4
<362,nurse9-1,HR9-1,addItem> 1.9188978476442485E-4
<363,doctor8-0,HRitem8-1-3,read> 6.454369830009331E-5
<364,doctor0-0,HRitem8-6-3,read> 3.1036585870118617E-4
<365,doctor9-1,HRitem0-1-2,read> 1.7991475782359678E-4
<366,agent9-01,noteItem9-9agent9-0,read> 0.0015092643560551172
<367,nurse1-2,HR1-5,addItem> 2.2913569982516813E-4
<368,agent9-11,noteItem9-2,read> 0.0010892462275109485
<369,patient0-9,HR0-9,addNote> 0.0015879669112223987
<370,agent5-01,noteItem5-0agent5-0,read> 2.4581394790289116E-4
<371,nurse2-3,nursingItem2-3,read> 7.341426326074147E-4
<372,nurse9-3,HR9-4,addItem> 1.9326606809138823E-4
<373,nurse9-3,HR9-5,addItem> 1.9487234269632646E-4
<374,patient1-3,HR1-3,addNote> 0.002308384951427548
<375,agent5-01,noteItem5-0,read> 0.0032207452150347527
<376,nurse8-0,nursingItem8-0,read> 0.0018331824110510687
<377,nurse9-3,HR9-6,addItem> 1.8309299559344605E-4
<378,nurse9-3,HR9-8,addItem> 1.8577011993500976E-4
<379,nurse3-0,nursingItem3-6,read> 7.20364077523993E-4
<380,nurse9-3,HR9-9,addItem> 1.8630554480332252E-4
<381,doctor3-0,HR5-9,addItem> 0.0014210291323983452
<382,nurse2-3,nursingItem2-1,read> 7.311641146152623E-4
<383,patient6-2,noteItem6-2,read> 0.006174140236634585
<384,nurse9-3,HR9-0,addItem> 1.8898266914488626E-4
<385,doctor2-1,HRitem1-0-1,read> 9.475168738533065E-4
<386,nurse5-1,nursingItem5-4,read> 0.0010626923257975327
<387,patient3-3,noteItem3-3,read> 0.005964270095158225
<388,doctor3-0,HR5-8,addItem> 0.0014286699297944606
<389,nurse9-3,HR9-1,addItem> 1.9005351888151168E-4
<390,nurse0-3,nursingItem0-5,read> 0.0019166489273550298
<391,nurse9-3,HR9-2,addItem> 1.9112436861813722E-4
<392,patient0-0,noteItem0-0agent0-0agent0-1,read> 0.00437741421103164
<393,nurse9-3,HR9-3,addItem> 1.9219521835476267E-4
<394,doctor3-0,HR5-4,addItem> 0.0014095679363041727
<395,doctor3-0,HR5-1,addItem> 0.001474514714171152
<396,nurse0-3,nursingItem0-6,read> 0.0019271517127323965
<397,doctor4-1,HRitem4-4-3,read> 6.352458727430237E-4
<398,nurse7-1,HR7-3,addItem> 1.7789590309864767E-4
<399,doctor3-0,HR5-0,addItem> 0.0014706943154730945
<400,nurse3-2,HR3-7,addItem> 2.0814933765396485E-4
<401,nurse3-2,HR3-8,addItem> 2.108741026281631E-4
<402,nurse3-2,HR3-9,addItem> 2.1141905562300278E-4
<403,nurse3-2,HR3-3,addItem> 2.032447607004079E-4
<404,nurse8-1,nursingItem8-7,read> 0.0018141352282111652
<405,nurse3-2,HR3-4,addItem> 2.0869429064880452E-4
<406,patient6-6,noteItem6-6,read> 0.006262506611993053
<407,nurse3-2,HR3-5,addItem> 2.0923924364364417E-4
<408,patient8-7,noteItem8-7,read> 0.0029045843483712906
<409,nurse3-2,HR3-6,addItem> 2.070594316642855E-4
<410,nurse7-1,nursingItem7-2,read> 2.3739993559675082E-4
<411,doctor2-0,HR2-1,addItem> 0.0015853062764148228
<412,agent2-01,HR2-2,addNote> 0.0016318531544155367
<413,nurse6-0,nursingItem6-0,read> 2.4577542104520185E-4
<414,doctor2-0,HRitem7-3-2,read> 1.3068977242690198E-4
<415,nurse3-2,HR3-0,addItem> 2.0651447866944586E-4
<416,nurse3-2,HR3-1,addItem> 2.0542457267976657E-4
<417,nurse3-2,HR3-2,addItem> 2.0433466669008725E-4
<418,doctor7-1,HR6-9,addItem> 1.2871396681970806E-4
<419,nurse6-0,nursingItem6-6,read> 2.0680112301922824E-4
<420,nurse6-0,nursingItem6-7,read> 2.0380310009415336E-4
<421,nurse1-1,nursingItem1-1,read> 0.001964239058404038
<422,doctor7-1,HR6-7,addItem> 1.110927480185896E-4
<423,nurse4-1,nursingItem4-5,read> 0.001847884859260799
<424,nurse8-2,nursingItem8-8,read> 8.749848961277314E-4
<425,nurse6-0,nursingItem6-8,read> 3.71613007171025E-4
<426,nurse0-2,nursingItem0-4,read> 0.0010958828754389896
<427,nurse6-0,nursingItem6-9,read> 2.097991459443032E-4
<428,patient5-2,HR5-2,addNote> 0.0020245839052861255
<429,doctor7-1,HR6-5,addItem> 1.1651466149585679E-4
<430,patient8-4,noteItem8-4agent8-1agent8-0,read> 0.0011809049959836846
<431,nurse6-0,nursingItem6-2,read> 2.487734439702767E-4
<432,nurse6-0,nursingItem6-3,read> 2.5027245543281413E-4
<433,patient5-6,HR5-6,addNote> 0.0020627878922667015
<434,nurse6-0,nursingItem6-4,read> 2.008050771690785E-4
<435,nurse8-3,nursingItem8-8,read> 8.630397098324721E-4
