<0,stu2-8,stu2-8application2-8,checkStatus> 0.0023680892344342683
<33,registrar0-0,roster3-8,read> 1.3036267969607112E-4
<34,admissions0-1,stu2-7application2-7,read> 1.0686456291175424E-4
<35,registrar2-1,roster5-2,write> 1.0340555070904479E-4
<36,stu5-13,stu5-13application5-13,checkStatus> 0.0022477926070103666
<37,chair5,transcript5-6,read> 0.0017077933926295827
<38,app3-3,application3-3,checkStatus> 0.00149593868561098
<39,registrar4-0,roster1-9,write> 1.8116108016717205E-4
<40,chair0,transcript0-11,read> 0.0018569414789837966
<41,admissions4-0,stu1-14application1-14,read> 1.6784411368127858E-4
<42,fac2-3,gradebook2-6,addScore> 0.0015639868339389841
<43,stu1-12,transcript1-12,read> 2.1177521224919986E-4
<44,fac4-3,gradebook4-6,readScore> 2.1678718857704628E-4
<45,stu4-3,gradebook4-5,addScore> 3.2297356555678906E-4
<46,stu1-12,stu1-12application1-12,checkStatus> 0.0014237607091566386
<47,registrar0-1,transcript2-9,read> 1.9939431385093993E-4
<48,chair4,transcript4-2,read> 0.0012144574146887206
<49,fac0-0,roster0-1,read> 0.0026408274240799496
<50,registrar2-0,transcript2-11,read> 3.477998883201059E-4
<51,chair0,transcript0-8,read> 6.465473935707518E-4
<52,app4-3,application4-3,checkStatus> 0.001724502277716393
<53,admissions2-0,stu4-1application4-1,read> 1.7778290926297237E-4
<54,chair4,transcript4-6,read> 0.0011972480201093883
<55,registrar4-0,roster2-3,read> 1.1895504249749974E-4
<56,chair4,transcript4-3,read> 0.001180038625530056
<57,admissions0-0,stu0-17application0-17,setStatus> 2.458701699007008E-4
<58,stu0-4,stu0-4application0-4,checkStatus> 0.0015260128424669551
<59,chair1,transcript1-3,read> 0.0017881039006664673
<60,admissions0-0,stu4-12application4-12,setStatus> 2.1486496569187013E-4
<61,fac4-0,gradebook4-1,readScore> 2.0391285833970887E-4
<62,fac0-4,gradebook0-9,addScore> 2.1427957813633872E-4
<63,admissions2-1,stu5-8application5-8,read> 1.8157120638136325E-4
<64,stu3-8,stu3-8application3-8,checkStatus> 0.001904947218852246
<65,registrar2-1,transcript4-9,read> 2.1389703075020843E-4
<66,stu1-10,stu1-10application1-10,checkStatus> 0.0013034640817327367
<67,stu0-3,transcript0-3,read> 5.340867547943236E-4
<68,fac2-3,roster2-6,read> 0.001924551812296922
<69,registrar4-1,transcript0-13,read> 3.987198489307656E-4
<70,stu2-13,transcript2-13,read> 0.001659697834144217
<71,stu5-15,gradebook5-3,addScore> 5.5113303922082426E-5
<72,registrar0-1,roster4-4,read> 1.0682226844159864E-4
<73,stu2-5,gradebook2-5,readMyScores> 4.0996876439370944E-4
<74,chair4,transcript4-15,read> 0.0020749271436553405
<75,stu4-1,gradebook4-5,readMyScores> 1.1977293648397014E-4
<76,registrar2-1,roster5-6,write> 8.827657916333697E-5
<77,admissions0-1,stu0-18application0-18,read> 2.2662615744042442E-4
<78,fac2-3,gradebook2-7,readScore> 1.279131897997113E-4
<79,chair5,transcript5-2,read> 0.0016848475331904728
<80,admissions0-0,stu4-1application4-1,setStatus> 2.3927331794137518E-4
<81,stu5-9,transcript5-9,read> 0.0014811868259653792
<82,fac3-1,roster3-3,read> 0.0017349494444720028
<83,registrar0-1,transcript4-13,read> 3.6095011773436026E-4
<84,chair0,transcript0-17,read> 0.0018339956195446865
<85,stu3-14,transcript3-14,read> 0.0017390360600014784
<86,registrar0-1,transcript0-9,read> 1.1711123361217923E-4
<87,chair4,transcript4-17,read> 0.0020921365382346726
<88,registrar4-0,transcript2-18,read> 4.129016629035941E-4
<89,registrar4-1,transcript2-10,read> 4.0235881827073455E-4
<90,stu3-2,stu3-2application3-2,checkStatus> 5.997288113029108E-4
<91,app2-1,application2-1,checkStatus> 6.237881367876912E-4
<92,stu5-7,transcript5-7,read> 0.0014712695477332215
<93,stu3-1,stu3-1application3-1,checkStatus> 0.0019350213757082214
<94,stu4-0,gradebook4-5,readMyScores> 1.1654206729172431E-4
<95,stu2-4,transcript2-4,read> 9.654883578931814E-4
<96,stu3-11,transcript3-11,read> 0.0017539119773497148
<97,stu2-14,gradebook2-8,addScore> 8.10942963382728E-4
<98,stu5-12,stu5-12application5-12,checkStatus> 0.0010388115014001525
<99,chair2,transcript2-16,read> 0.0019544613816000135
<100,chair5,transcript5-5,read> 0.0016905839980502501
<101,admissions2-1,stu3-6application3-6,setStatus> 2.0201784765026966E-4
<102,chair5,transcript5-4,read> 0.0016963204629100277
<103,registrar0-0,transcript4-1,read> 2.124168805532249E-4
<104,admissions4-0,stu1-11application1-11,read> 1.5549203859127898E-4
<105,stu0-14,stu0-14application0-14,checkStatus> 0.0014117310464142486
<106,fac2-4,roster2-8,read> 0.001956152206934408
<107,admissions4-0,stu5-13application5-13,setStatus> 2.098215179587252E-4
<108,fac2-1,gradebook2-3,addScore> 7.657870157339809E-4
<109,fac2-2,gradebook2-4,changeScore> 0.0022526274643693157
<110,registrar4-1,transcript2-6,read> 2.2890127973221417E-4
<111,chair2,transcript2-17,read> 0.0019716707761793456
<112,fac3-2,roster3-4,read> 0.0017033490498345166
<113,admissions4-1,stu5-3application5-3,setStatus> 1.6451848359383202E-4
<114,app5-3,application5-3,checkStatus> 0.002289896426608732
<115,stu1-17,stu1-17application1-17,checkStatus> 7.200254387268127E-4
<116,chair0,transcript0-14,read> 0.0018798873384229065
<117,registrar2-1,roster4-3,write> 1.0573308479299985E-4
<118,chair4,transcript4-13,read> 0.002063454213935785
<119,registrar4-0,transcript2-10,read> 3.9618056386350633E-4
<120,stu0-9,gradebook0-2,readMyScores> 2.2598051981714515E-5
<121,fac0-3,roster0-7,read> 0.0027250951431132472
<122,fac1-0,gradebook1-1,readScore> 2.257268416406889E-4
<123,fac4-4,gradebook4-9,changeScore> 0.001145852199039709
<124,stu1-1,transcript1-1,read> 0.0013076344569026203
<125,stu2-17,transcript2-17,read> 0.0017043255861889262
<126,admissions2-0,application5-3,read> 1.866056797169188E-4
<127,stu1-14,stu1-14application1-14,checkStatus> 0.0020432883403897328
<128,registrar0-0,roster1-4,read> 2.0103314293420642E-4
<129,admissions4-1,application4-3,read> 1.4278421719020483E-4
<130,stu4-9,stu4-9application4-9,checkStatus> 0.0014418052032702238
<131,stu0-12,transcript0-12,read> 0.0016398632776799017
<132,admissions4-0,stu1-11application1-11,setStatus> 1.766954983991807E-4
<133,app5-1,application5-1,checkStatus> 0.002265837101123952
<134,chair2,transcript2-18,read> 0.001983143705898901
<135,admissions2-0,stu4-5application4-5,read> 7.583089512847976E-5
<136,stu2-0,transcript2-0,read> 0.0011588752834202555
<137,registrar4-0,roster1-4,read> 2.3817552500057248E-4
<138,admissions2-1,stu3-8application3-8,setStatus> 1.7074809963190255E-4
<139,stu2-2,stu2-2application2-2,checkStatus> 3.2304656822793645E-4
<140,stu1-9,gradebook1-4,readMyScores> 9.523703521102355E-5
<141,stu2-13,stu2-13application2-13,checkStatus> 0.0012192564425360054
<142,admissions4-1,stu4-4application4-4,read> 1.368080720731028E-4
<143,chair0,transcript0-12,read> 0.001897096733002239
<144,registrar2-1,transcript4-6,read> 2.1914711127588344E-4
<145,stu2-12,transcript2-12,read> 0.001654739195028138
<146,chair2,transcript2-4,read> 0.001116937512072504
<147,registrar4-0,transcript3-15,read> 4.176791197721906E-4
<148,registrar0-1,transcript0-19,read> 3.188051254169463E-4
<149,registrar4-0,transcript0-18,read> 3.806538290405678E-4
<150,stu4-17,transcript4-17,read> 0.0018084570076265817
<151,registrar0-1,transcript4-4,read> 2.0742193143520924E-4
<152,admissions0-1,stu1-12application1-12,setStatus> 1.5562454676231873E-4
<153,stu0-12,stu0-12application0-12,checkStatus> 6.057436426741059E-4
<154,chair0,transcript0-18,read> 0.0018282591546849095
<155,admissions0-1,stu0-8application0-8,read> 1.6761319781760143E-4
<156,chair3,transcript3-3,read> 4.228252640394306E-4
<157,admissions4-0,application3-4,setStatus> 1.3907781517054533E-4
<158,fac5-1,roster5-2,read> 0.0018718844879011109
<159,registrar4-1,transcript4-18,read> 4.4602645035036207E-4
<160,registrar4-1,roster2-6,read> 1.6887225149874412E-4
<161,stu2-2,gradebook2-1,readMyScores> 6.120656893670533E-4
<162,stu0-11,stu0-11application0-11,checkStatus> 0.0020192290149049527
<163,fac3-4,gradebook3-9,readScore> 1.2837160996817724E-4
<164,stu0-13,stu0-13application0-13,checkStatus> 0.0019831400266777824
<165,stu4-2,transcript4-2,read> 0.0010497852228665212
<166,admissions2-1,stu3-1application3-1,setStatus> 1.7344376756452042E-4
<167,fac3-3,gradebook3-7,changeScore> 4.8761217281736394E-4
<168,fac1-3,roster1-7,read> 0.0028620301865423556
<169,stu5-5,transcript5-5,read> 0.0014613522695010638
<170,fac3-4,roster3-9,read> 0.0017981502337469756
<171,registrar4-0,roster0-8,read> 2.509166452680764E-4
<172,stu0-13,transcript0-13,read> 0.001629945999447744
<173,stu5-3,transcript5-3,read> 0.0014514349912689063
<174,registrar0-0,roster2-1,write> 8.08427268860487E-5
<175,stu1-8,stu1-8application1-8,checkStatus> 0.0015380425052093454
<176,stu2-16,gradebook2-3,addScore> 8.103959681068343E-4
<177,stu3-6,stu3-6application3-6,checkStatus> 0.0022538074383815616
<178,chair1,transcript1-5,read> 0.0017766309709469122
<179,registrar2-1,transcript1-4,read> 3.2414872178938316E-4
<180,admissions2-0,stu2-11application2-11,read> 6.700812467453329E-5
<181,registrar0-0,transcript4-17,read> 3.676656032197701E-4
<182,registrar2-0,transcript5-8,read> 3.1330301774408535E-4
<183,fac5-4,roster5-9,read> 0.0017138825147136785
<184,stu3-18,transcript3-18,read> 0.0017092842253050053
<185,admissions2-0,stu0-8application0-8,setStatus> 1.613655381057708E-4
<186,admissions0-0,application5-0,setStatus> 2.478492254884985E-4
<187,stu0-9,stu0-9application0-9,checkStatus> 0.0013154937444751268
<188,admissions2-1,stu0-5application0-5,setStatus> 1.73982901151044E-4
<189,chair1,transcript1-2,read> 0.0017823674358066898
<190,stu0-9,gradebook0-8,addScore> 1.3453309302800652E-4
<191,stu5-6,transcript5-6,read> 0.0014762281868493004
<192,admissions4-0,stu1-9application1-9,read> 1.500571255516791E-4
<193,stu3-7,gradebook3-7,readMyScores> 5.7083730110842595E-5
<194,stu1-0,stu1-0application1-0,checkStatus> 0.002217718450154391
<195,registrar2-1,transcript4-17,read> 3.8294962367694304E-4
<196,registrar4-0,roster3-7,write> 1.1166406052624136E-4
<197,registrar4-0,roster1-7,read> 2.472763251916467E-4
<198,registrar4-1,transcript5-8,read> 3.6354314531106567E-4
<199,stu2-10,gradebook2-9,readMyScores> 1.0955409861569504E-4
<200,admissions2-0,stu3-15application3-15,setStatus> 1.5690959343206046E-4
<201,chair3,transcript3-10,read> 0.0020405083544966754
<202,stu3-9,stu3-9application3-9,checkStatus> 9.846780190593968E-4
<203,registrar2-0,transcript4-15,read> 3.78115320038427E-4
<204,admissions2-0,stu1-5application1-5,read> 1.05240129974968E-4
<205,fac2-4,roster2-9,read> 0.0019666856718135706
<206,registrar4-0,transcript3-19,read> 4.0931857025214676E-4
<207,chair3,transcript3-13,read> 0.0020175624950575653
<208,admissions2-0,stu1-15application1-15,setStatus> 1.5523861417941908E-4
<209,registrar2-1,roster3-2,read> 1.2698092523910515E-4
<210,stu2-12,gradebook2-6,readMyScores> 2.0749788874245158E-4
<211,chair2,transcript2-6,read> 0.001082518722913839
<212,admissions4-0,stu5-15application5-15,setStatus> 4.531433607827525E-5
<213,admissions2-0,stu3-8application3-8,setStatus> 1.7640435137954323E-4
<214,admissions4-1,stu1-14application1-14,read> 1.6917885812407207E-4
<215,registrar4-0,transcript4-7,read> 2.397188514169715E-4
<216,admissions0-1,application5-3,setStatus> 2.502977440181845E-4
<217,chair5,transcript5-9,read> 0.00171352985748936
<218,registrar0-1,transcript1-0,read> 2.666256111191956E-4
<219,chair1,transcript1-7,read> 0.0017651580412273574
<220,admissions0-0,stu2-16application2-16,read> 1.1883789014594587E-4
<221,admissions4-0,stu4-17application4-17,setStatus> 9.75299262314556E-5
<222,app4-1,application4-1,checkStatus> 0.0017004429522316127
<223,registrar0-1,transcript3-18,read> 3.458983347638553E-4
<224,registrar0-0,roster4-9,read> 9.886823412255431E-5
<225,admissions2-1,stu5-10application5-10,read> 1.701847050339854E-4
<226,fac2-0,gradebook2-1,changeScore> 0.0021594253367626117
<227,stu0-3,stu0-3application0-3,checkStatus> 9.425741994610311E-4
<228,admissions4-0,stu5-16application5-16,setStatus> 1.4637676863281786E-4
<229,admissions2-1,stu1-4application1-4,setStatus> 2.0956571786159964E-4
<230,admissions0-1,stu1-5application1-5,setStatus> 1.4116058607045035E-4
<231,stu1-2,stu1-2application1-2,checkStatus> 0.0018808878933674656
<232,stu0-15,stu0-15application0-15,checkStatus> 0.0014177458777854433
<233,fac1-3,roster1-6,read> 0.00278829593238822
<234,fac4-2,roster4-5,read> 0.0014505458927346244
<235,fac3-1,gradebook3-2,assignGrade> 1.803884184798646E-4
<236,stu1-2,transcript1-2,read> 0.0015406904953583253
<237,stu1-5,stu1-5application1-5,checkStatus> 0.0012914344189903465
<238,stu1-8,gradebook1-7,readMyScores> 1.0135631508067089E-4
<239,fac5-1,gradebook5-2,changeScore> 5.691640344732297E-4
<240,stu3-12,stu3-12application3-12,checkStatus> 8.463368975219097E-4
<241,registrar2-0,transcript1-4,read> 3.227112551739091E-4
<242,admissions4-0,stu5-0application5-0,read> 1.2041214533567996E-4
<243,stu4-10,stu4-10application4-10,checkStatus> 3.531207250839119E-4
<244,chair2,transcript2-15,read> 0.0019372519870206814
<245,fac0-4,roster0-9,read> 0.0029252309758173284
<246,app1-2,application1-2,checkStatus> 2.6289825451598556E-4
<247,fac4-3,roster4-6,read> 0.0015348136117679218
<248,registrar0-1,transcript1-9,read> 3.067636990405423E-4
<249,stu1-1,stu1-1application1-1,checkStatus> 0.002362074403063073
<250,admissions2-0,stu3-19application3-19,read> 1.4837367441648412E-4
<251,stu3-0,transcript3-0,read> 3.605343857315646E-4
<252,stu3-10,stu3-10application3-10,checkStatus> 6.11758474045301E-4
<253,admissions2-0,application4-3,read> 1.4053121179075388E-4
<254,registrar0-0,transcript4-3,read> 2.073763376095059E-4
<255,admissions4-0,stu4-13application4-13,read> 1.7673760774607842E-4
<256,chair3,transcript3-19,read> 0.0019659343113195686
<257,admissions0-0,stu5-11application5-11,setStatus> 1.4032053855148993E-4
<258,chair3,transcript3-1,read> 4.113523343198757E-4
<259,registrar0-1,transcript5-7,read> 2.9773262925823925E-4
<260,registrar4-0,transcript5-3,read> 3.4960035939469064E-4
<261,registrar0-1,roster3-4,read> 1.2364366949652378E-4
<262,registrar4-0,roster1-2,read> 2.43636005115217E-4
<263,registrar0-0,roster5-5,write> 8.587066498204251E-5
<264,admissions4-1,stu0-3application0-3,setStatus> 8.868482396393898E-5
<265,stu5-16,stu5-16application5-16,checkStatus> 0.0015681166620653208
<266,admissions2-0,stu1-0application1-0,setStatus> 2.053679917586604E-4
<267,app5-0,application5-0,checkStatus> 0.0022598222697527565
<268,registrar0-0,roster2-4,read> 1.0424533458632549E-4
<269,chair3,transcript3-7,read> 4.515075883383179E-4
<270,admissions0-0,application4-1,read> 1.6411868199475732E-4
<271,registrar0-1,transcript1-4,read> 3.097740556346433E-4
<272,admissions4-1,stu5-12application5-12,setStatus> 9.773958929288144E-5
<273,registrar4-0,transcript1-2,read> 3.7109891530337486E-4
<274,registrar4-0,transcript1-8,read> 3.639327300004801E-4
<275,stu0-10,transcript0-10,read> 0.0016101114429834286
<276,stu4-16,stu4-16application4-16,checkStatus> 0.0018087099169131246
<277,stu1-15,stu1-15application1-15,checkStatus> 0.0016763836267468324
<278,registrar4-1,transcript2-8,read> 2.3132725929219346E-4
<279,fac0-2,roster0-4,read> 0.002714561678234085
<280,stu1-18,stu1-18application1-18,checkStatus> 0.0013455679013311022
<281,registrar0-0,roster3-3,read> 1.2652189365052027E-4
<282,chair1,transcript1-4,read> 0.0017708945060871345
<283,stu2-0,stu2-0application2-0,checkStatus> 0.00120121194842242
<284,registrar2-1,roster1-1,read> 2.1499080778865563E-4
<285,admissions0-0,stu1-10application1-10,setStatus> 1.4295927933522022E-4
<286,admissions2-0,stu1-13application1-13,read> 1.179841317417796E-4
<287,stu3-17,gradebook3-8,readMyScores> 2.4509069332351362E-5
<288,admissions4-0,stu1-8application1-8,setStatus> 1.4356947883963612E-4
<289,admissions0-0,stu3-15application3-15,setStatus> 1.8583881707083714E-4
<290,chair5,transcript5-3,read> 0.0016791110683306951
<291,chair3,transcript3-14,read> 0.0020118260301977883
<292,registrar2-1,roster0-9,read> 2.2219161636089155E-4
<293,registrar4-1,transcript3-14,read> 4.2540562409053805E-4
<294,fac5-2,roster5-4,read> 0.001555880541526246
<295,fac2-1,gradebook2-2,changeScore> 0.0021536002037871927
<296,chair0,transcript0-15,read> 0.0018741508735631292
<297,admissions2-0,stu5-3application5-3,read> 1.4249182744718644E-4
<298,registrar0-1,transcript2-16,read> 3.4188452597172064E-4
<299,registrar4-0,transcript4-0,read> 2.504681293713136E-4
<300,stu0-1,transcript0-1,read> 8.514396582233682E-4
<301,registrar4-1,roster0-7,read> 2.391169463068876E-4
<302,fac2-1,gradebook2-2,addScore> 0.0015030060844298285
<303,fac2-2,gradebook2-5,readScore> 9.902566090240348E-5
<304,registrar4-1,transcript4-16,read> 4.436004707903828E-4
<305,fac2-3,roster2-7,read> 0.001935085277176084
<306,stu1-16,stu1-16application1-16,checkStatus> 0.0013335382385887122
<307,stu1-3,stu1-3application1-3,checkStatus> 0.0016643539640044424
<308,stu5-3,stu5-3application5-3,checkStatus> 0.0017485616032011735
<309,admissions4-0,stu4-5application4-5,read> 7.643875801528119E-5
<310,stu3-13,transcript3-13,read> 0.0017439946991175568
<311,fac0-4,roster0-8,read> 0.002904164046059004
<312,registrar0-0,transcript2-19,read> 3.5052775721112545E-4
<313,chair3,transcript3-9,read> 3.884064748807658E-4
<314,registrar0-0,transcript1-4,read> 3.1121152225011727E-4
<315,fac1-4,roster1-9,read> 0.00288309711630068
<316,fac4-0,gradebook4-1,assignGrade> 4.5708223481226624E-4
<317,stu2-3,transcript2-3,read> 9.704469970092601E-4
<318,chair4,transcript4-19,read> 0.0021036094679542277
<319,stu2-19,stu2-19application2-19,checkStatus> 0.001393686552300663
<320,chair0,transcript0-16,read> 0.001839732084404464
<321,registrar0-1,roster0-3,write> 1.405258917329492E-4
<322,registrar4-0,roster3-1,read> 1.4625744307072248E-4
<323,registrar4-1,roster4-1,write> 1.2079958879885283E-4
<324,registrar0-0,roster2-2,write> 7.469746921316736E-5
<325,fac2-1,roster2-2,read> 0.0014084120332179756
<326,fac1-2,gradebook1-5,changeScore> 8.254698853916649E-4
<327,fac4-4,gradebook4-9,assignGrade> 4.092329282284675E-4
<328,registrar0-0,roster0-6,read> 1.9949682851598609E-4
<329,fac1-4,roster1-8,read> 0.0028725636514215177
<330,registrar4-0,transcript5-7,read> 3.543778162632871E-4
<331,stu4-19,gradebook4-5,readMyScores> 6.207884376529475E-5
<332,admissions2-0,stu4-13application4-13,setStatus> 1.9924106783230874E-4
<333,admissions4-0,application5-2,read> 1.871133508216781E-4
<334,stu5-1,transcript5-1,read> 0.0014316004348045909
<335,stu5-12,gradebook5-3,readMyScores> 5.806763049781083E-5
<336,admissions4-0,stu1-4application1-4,read> 1.9205418085767794E-4
<337,admissions0-1,stu2-1application2-1,read> 1.3000690001874364E-4
<338,fac1-1,gradebook1-2,changeScore> 8.895463481212737E-4
<339,fac4-3,gradebook4-6,changeScore> 0.0013322564542531164
<340,chair2,transcript2-11,read> 0.0019085696627217938
<341,stu4-1,stu4-1application4-1,checkStatus> 0.0021816294619272205
<342,admissions2-0,stu3-11application3-11,read> 1.2092505522642842E-4
<343,registrar2-1,transcript4-18,read> 3.86099671992348E-4
<344,registrar2-0,roster0-9,read> 2.212062876852335E-4
<345,admissions0-0,stu3-18application3-18,setStatus> 2.082681137325445E-4
<346,admissions2-0,stu4-9application4-9,read> 1.1749397782767143E-4
<347,registrar0-0,roster1-1,write> 1.5011654065307458E-4
<348,admissions4-0,stu4-0application4-0,setStatus> 6.664973850645647E-5
<349,stu5-4,gradebook5-6,readMyScores> 6.575939595164471E-5
<350,registrar0-0,transcript5-4,read> 2.9810611059644793E-4
<351,admissions2-1,stu2-3application2-3,setStatus> 6.885185177894769E-5
<352,registrar0-0,roster1-5,write> 1.489992210761871E-4
<353,fac2-1,gradebook2-3,changeScore> 0.002258452597344734
<354,fac2-1,gradebook2-3,readScore> 2.8213205842830873E-4
<355,stu0-16,stu0-16application0-16,checkStatus> 0.0014357903718990289
<356,admissions0-0,stu4-8application4-8,read> 9.619749422154016E-5
<357,registrar0-0,roster1-4,write> 1.462059221339683E-4
<358,registrar2-0,roster4-6,read> 1.1606277389876392E-4
<359,fac4-3,gradebook4-7,readScore> 3.440508924426646E-4
<360,stu4-11,transcript4-11,read> 0.001694408307956769
<361,registrar0-0,roster1-3,write> 1.4676458192241205E-4
<362,fac1-0,gradebook1-1,changeScore> 8.778960821704358E-4
<363,stu2-2,transcript2-2,read> 9.555710796610238E-4
<364,registrar4-0,transcript1-1,read> 3.1496379709736617E-4
<365,admissions0-0,application5-0,read> 2.1810731842987867E-4
<366,registrar2-0,transcript2-10,read> 3.46754528605681E-4
<367,fac5-0,roster5-1,read> 0.0018613510230219492
<368,admissions2-1,stu1-14application1-14,read> 1.6117039146731126E-4
<369,stu4-19,transcript4-19,read> 0.0018183742858587394
<370,fac4-4,roster4-8,read> 0.0013873451034596511
<371,registrar0-0,roster1-7,read> 2.0871471502530807E-4
<372,chair5,transcript5-7,read> 0.001702056927769805
<373,fac1-1,gradebook1-2,assignGrade> 3.1769512432902635E-4
<374,chair2,transcript2-19,read> 0.0019946166356184557
<375,fac5-4,gradebook5-9,changeScore> 3.885849122352412E-4
<376,admissions0-1,stu4-0application4-0,setStatus> 7.80451212332065E-5
<377,admissions2-1,stu0-15application0-15,read> 1.118288856286741E-4
<378,stu4-3,stu4-3application4-3,checkStatus> 0.002350044740320683
<379,fac4-1,roster4-2,read> 0.0019034848825385977
<380,stu1-19,transcript1-19,read> 1.6218882108841158E-4
<381,stu2-18,gradebook2-4,readScore> 2.951520600307951E-4
<382,chair4,transcript4-11,read> 0.001960197846459791
<383,registrar0-0,roster1-2,write> 1.4955788086463083E-4
<384,stu2-14,gradebook2-8,readScore> 2.987684601936366E-4
<385,registrar0-1,roster5-4,write> 8.213755749271309E-5
<386,stu3-15,stu3-15application3-15,checkStatus> 0.0016944281208604176
<387,registrar0-0,transcript3-15,read> 3.525439743886132E-4
<388,registrar0-0,roster2-8,read> 1.4265319504183375E-4
<389,stu3-19,transcript3-19,read> 0.0016993669470728476
<390,admissions2-0,stu3-19application3-19,setStatus> 1.6860644820055015E-4
<391,registrar2-0,transcript4-4,read> 2.1608456430257297E-4
<392,chair0,transcript0-10,read> 0.001862677943843574
<393,app3-2,application3-2,checkStatus> 0.0015019535169821748
<394,registrar0-0,roster1-9,write> 1.529098395952934E-4
<395,stu0-18,stu0-18application0-18,checkStatus> 0.0023560595716918776
<396,admissions4-0,stu3-13application3-13,read> 1.1744764731408003E-4
<397,admissions4-0,stu0-8application0-8,setStatus> 1.6265904943327193E-4
<398,admissions0-1,application3-0,read> 1.421566269999131E-4
<399,stu2-15,transcript2-15,read> 0.0016745737514924535
<400,admissions2-0,stu3-14application3-14,setStatus> 1.2961693230558466E-4
<401,admissions2-1,stu2-18application2-18,setStatus> 1.6266109583404898E-4
<402,registrar0-0,roster1-8,write> 1.5235117980684962E-4
<403,stu2-18,stu2-18application2-18,checkStatus> 0.0018147247482843195
<404,admissions2-1,application3-3,read> 1.1799657385850378E-4
<405,stu4-2,stu4-2application4-2,checkStatus> 0.001129033971968079
<406,registrar2-1,transcript5-7,read> 3.1154852852776315E-4
<407,stu4-11,stu4-11application4-11,checkStatus> 0.00213351081095766
<408,registrar2-0,transcript3-14,read> 3.666163631797535E-4
<409,stu3-11,stu3-11application3-11,checkStatus> 0.0014839090228685897
<410,fac4-1,gradebook4-3,changeScore> 0.0012973056564006024
<411,registrar4-0,transcript4-19,read> 4.3798331146372566E-4
<412,fac0-3,roster0-6,read> 0.0027356286079924094
<413,registrar2-1,roster4-3,read> 1.4538299159037478E-4
<414,chair5,transcript5-8,read> 0.0017192663223491375
<415,chair3,transcript3-12,read> 0.0020232989599173433
<416,registrar0-1,transcript3-14,read> 3.519190479520574E-4
<417,stu1-5,transcript1-5,read> 0.0015357318562422464
<418,admissions0-0,stu4-19application4-19,read> 7.355709829713444E-5
<419,stu3-14,stu3-14application3-14,checkStatus> 0.0013997013836718583
<420,registrar4-1,transcript1-3,read> 3.780990226709416E-4
<421,fac4-2,gradebook4-5,assignGrade> 4.716450672508138E-4
<422,registrar2-1,transcript0-10,read> 3.409489794715431E-4
<423,registrar0-1,transcript0-5,read> 1.120939726220109E-4
<424,registrar0-0,roster1-7,write> 1.5179252001840587E-4
<425,admissions4-1,stu4-14application4-14,setStatus> 1.7753470875418682E-4
<426,registrar4-0,roster0-1,write> 1.6593792348392055E-4
<427,admissions4-1,stu2-6application2-6,setStatus> 1.5829333243018413E-4
<428,fac1-0,roster1-1,read> 0.0028304297919048687
<429,registrar2-1,transcript1-12,read> 4.484443782347385E-5
<430,stu5-17,stu5-17application5-17,checkStatus> 0.001513983179724565
<431,chair1,transcript1-9,read> 0.0017536851115078024
<432,chair2,transcript2-13,read> 0.0019200425924413489
<433,app5-4,application5-4,checkStatus> 0.002307940920722317
<434,stu2-18,transcript2-18,read> 0.0017142428644210841
<435,admissions2-1,application5-0,read> 1.78250143488378E-4
